name,value,year,lastValue,rank
Azaleia,248529,14,595576,17
Sumilon,1331132,14,539745,18
Olympikus                 ,674753,14,536741,19
North Sails N+,796053,14,498096,20
Branch,449929,14,472199,21
Umbro,997101,14,438382,22
Pigalle ,577234,14,397162,23
Croco Kids,259473,14,355899,24
Wassington   ,502458,14,341273,25
Euro Jack,67439,14,335114,26
Bibi,391780,14,321310,27
Vanzetti,606642,14,318844,28
Gallarate,333220,14,295370,29
Mormaii,57267,14,243059,30
Cuerart                  ,187206,14,207732,31
Mistral,249260,14,141290,32
Reef,106856,14,104285,33
Country Jack,103898,14,87912,34
Mc Jason,100797,14,80581,35
